n-plet	method	O-information	alpha	beta
Z_syn-Z_red-X1-X2	NPEET	10.791306189933668	0.01	0.97
Z_syn-Z_red-X1-X2	THOI	4.673006296157837	0.01	0.97
Z_syn-Z_red-X1-X2	GCMI	6.768032550452496	0.01	0.98
Z_syn-Z_red-X1-X2	NPEET	10.793068485031238	0.01	0.98
Z_syn-Z_red-X1-X2	THOI	4.691618824005127	0.01	0.98
Z_syn-Z_red-X1-X2	GCMI	6.799849910504534	0.01	0.99
Z_syn-Z_red-X1-X2	NPEET	10.78705685053651	0.01	0.99
Z_syn-Z_red-X1-X2	THOI	4.7102296352386475	0.01	0.99
Z_syn-Z_red-X1-X2	GCMI	6.786126678844949	0.01	1.0
Z_syn-Z_red-X1-X2	NPEET	10.811668313068203	0.01	1.0
Z_syn-Z_red-X1-X2	THOI	4.705897188186645	0.01	1.0
Z_syn-Z_red-X1-X2	GCMI	-0.4509019224153839	0.02	0.01
Z_syn-Z_red-X1-X2	NPEET	6.958349075135535	0.02	0.01
Z_syn-Z_red-X1-X2	THOI	-0.3125418424606323	0.02	0.01
Z_syn-Z_red-X1-X2	GCMI	-0.14741321322963455	0.02	0.02
Z_syn-Z_red-X1-X2	NPEET	6.831431354428067	0.02	0.02
Z_syn-Z_red-X1-X2	THOI	-0.10217849016189576	0.02	0.02
Z_syn-Z_red-X1-X2	GCMI	0.27559319390443343	0.02	0.03
Z_syn-Z_red-X1-X2	NPEET	6.967790952481591	0.02	0.03
Z_syn-Z_red-X1-X2	THOI	0.19102542400360106	0.02	0.03
Z_syn-Z_red-X1-X2	GCMI	0.631589888747347	0.02	0.04
Z_syn-Z_red-X1-X2	NPEET	7.105119550405595	0.02	0.04
Z_syn-Z_red-X1-X2	THOI	0.4377835035324097	0.02	0.04
Z_syn-Z_red-X1-X2	GCMI	0.9448069889110886	0.02	0.05
Z_syn-Z_red-X1-X2	NPEET	7.242142112280931	0.02	0.05
Z_syn-Z_red-X1-X2	THOI	0.6548875093460083	0.02	0.05
Z_syn-Z_red-X1-X2	GCMI	1.1937884016794946	0.02	0.06
Z_syn-Z_red-X1-X2	NPEET	7.3435423300067395	0.02	0.06
Z_syn-Z_red-X1-X2	THOI	0.8274673700332642	0.02	0.06
Z_syn-Z_red-X1-X2	GCMI	1.4118079384272497	0.02	0.07
Z_syn-Z_red-X1-X2	NPEET	7.456364694961543	0.02	0.07
Z_syn-Z_red-X1-X2	THOI	0.978580904006958	0.02	0.07
Z_syn-Z_red-X1-X2	GCMI	1.6011259045726554	0.02	0.08
Z_syn-Z_red-X1-X2	NPEET	7.526586660504239	0.02	0.08
Z_syn-Z_red-X1-X2	THOI	1.1098126411437987	0.02	0.08
Z_syn-Z_red-X1-X2	GCMI	1.7751211282290122	0.02	0.09
Z_syn-Z_red-X1-X2	NPEET	7.6126442280819235	0.02	0.09
Z_syn-Z_red-X1-X2	THOI	1.2304133653640748	0.02	0.09
Z_syn-Z_red-X1-X2	GCMI	1.9348296502893931	0.02	0.1
Z_syn-Z_red-X1-X2	NPEET	7.69166757111316	0.02	0.1
Z_syn-Z_red-X1-X2	THOI	1.3411091327667237	0.02	0.1
Z_syn-Z_red-X1-X2	GCMI	3.0085426714434775	0.02	0.2
Z_syn-Z_red-X1-X2	NPEET	8.172986319360119	0.02	0.2
Z_syn-Z_red-X1-X2	THOI	2.0852850437164308	0.02	0.2
Z_syn-Z_red-X1-X2	GCMI	3.657231355848282	0.02	0.3
Z_syn-Z_red-X1-X2	NPEET	8.467802929210643	0.02	0.3
Z_syn-Z_red-X1-X2	THOI	2.534929037094116	0.02	0.3
Z_syn-Z_red-X1-X2	GCMI	4.090881942094637	0.02	0.4
Z_syn-Z_red-X1-X2	NPEET	8.673577160755084	0.02	0.4
Z_syn-Z_red-X1-X2	THOI	2.835352373123169	0.02	0.4
Z_syn-Z_red-X1-X2	GCMI	4.461152179632635	0.02	0.5
Z_syn-Z_red-X1-X2	NPEET	8.818028617500378	0.02	0.5
Z_syn-Z_red-X1-X2	THOI	3.0919913768768312	0.02	0.5
Z_syn-Z_red-X1-X2	GCMI	4.775980426130756	0.02	0.6
Z_syn-Z_red-X1-X2	NPEET	8.942905172528894	0.02	0.6
Z_syn-Z_red-X1-X2	THOI	3.309725832939148	0.02	0.6
Z_syn-Z_red-X1-X2	GCMI	5.031305139735552	0.02	0.7
Z_syn-Z_red-X1-X2	NPEET	9.078470829655092	0.02	0.7
Z_syn-Z_red-X1-X2	THOI	3.487316536903381	0.02	0.7
Z_syn-Z_red-X1-X2	GCMI	5.263053545142469	0.02	0.8
Z_syn-Z_red-X1-X2	NPEET	9.161601814511878	0.02	0.8
Z_syn-Z_red-X1-X2	THOI	3.6477505207061767	0.02	0.8
Z_syn-Z_red-X1-X2	GCMI	5.454085873084968	0.02	0.9
Z_syn-Z_red-X1-X2	NPEET	9.252767944456018	0.02	0.9
Z_syn-Z_red-X1-X2	THOI	3.7793517827987673	0.02	0.9
Z_syn-Z_red-X1-X2	GCMI	5.488875955354	0.02	0.91
Z_syn-Z_red-X1-X2	NPEET	9.266561353303407	0.02	0.91
Z_syn-Z_red-X1-X2	THOI	3.8049820184707643	0.02	0.91
Z_syn-Z_red-X1-X2	GCMI	5.500132540529301	0.02	0.92
Z_syn-Z_red-X1-X2	NPEET	9.270533296017888	0.02	0.92
Z_syn-Z_red-X1-X2	THOI	3.8127237796783446	0.02	0.92
Z_syn-Z_red-X1-X2	GCMI	5.515703313556578	0.02	0.93
Z_syn-Z_red-X1-X2	NPEET	9.28564088301459	0.02	0.93
Z_syn-Z_red-X1-X2	THOI	3.823884201049805	0.02	0.93
Z_syn-Z_red-X1-X2	GCMI	5.53769195058903	0.02	0.94
Z_syn-Z_red-X1-X2	NPEET	9.294872865975254	0.02	0.94
Z_syn-Z_red-X1-X2	THOI	3.8374503374099733	0.02	0.94
Z_syn-Z_red-X1-X2	GCMI	5.568924189780299	0.02	0.95
Z_syn-Z_red-X1-X2	NPEET	9.286150278714048	0.02	0.95
Z_syn-Z_red-X1-X2	THOI	3.8595086574554442	0.02	0.95
Z_syn-Z_red-X1-X2	GCMI	5.573542354468648	0.02	0.96
Z_syn-Z_red-X1-X2	NPEET	9.289705509894128	0.02	0.96
Z_syn-Z_red-X1-X2	THOI	3.863090395927429	0.02	0.96
Z_syn-Z_red-X1-X2	GCMI	5.57702546187115	0.02	0.97
Z_syn-Z_red-X1-X2	NPEET	9.303187589158068	0.02	0.97
Z_syn-Z_red-X1-X2	THOI	3.8656933307647705	0.02	0.97
Z_syn-Z_red-X1-X2	GCMI	5.638898764783227	0.02	0.98
Z_syn-Z_red-X1-X2	NPEET	9.305799688860843	0.02	0.98
Z_syn-Z_red-X1-X2	THOI	3.908840227127075	0.02	0.98
Z_syn-Z_red-X1-X2	GCMI	5.590114049837276	0.02	0.99
Z_syn-Z_red-X1-X2	NPEET	9.329467701770922	0.02	0.99
Z_syn-Z_red-X1-X2	THOI	3.8732885360717773	0.02	0.99
Z_syn-Z_red-X1-X2	GCMI	5.667219865024997	0.02	1.0
Z_syn-Z_red-X1-X2	NPEET	9.337457758689059	0.02	1.0
Z_syn-Z_red-X1-X2	THOI	3.9284496545791625	0.02	1.0
Z_syn-Z_red-X1-X2	GCMI	-0.38739256317372794	0.03	0.01
Z_syn-Z_red-X1-X2	NPEET	6.670808430463479	0.03	0.01
Z_syn-Z_red-X1-X2	THOI	-0.26852027177810667	0.03	0.01
Z_syn-Z_red-X1-X2	GCMI	-0.4067927174910214	0.03	0.02
Z_syn-Z_red-X1-X2	NPEET	6.250188517525793	0.03	0.02
Z_syn-Z_red-X1-X2	THOI	-0.2819680690765381	0.03	0.02
Z_syn-Z_red-X1-X2	GCMI	-0.15746835752711358	0.03	0.03
Z_syn-Z_red-X1-X2	NPEET	6.223928945646406	0.03	0.03
Z_syn-Z_red-X1-X2	THOI	-0.10914945602416992	0.03	0.03
Z_syn-Z_red-X1-X2	GCMI	0.13937613691414907	0.03	0.04
Z_syn-Z_red-X1-X2	NPEET	6.319871695874889	0.03	0.04
Z_syn-Z_red-X1-X2	THOI	0.0966062068939209	0.03	0.04
Z_syn-Z_red-X1-X2	GCMI	0.4127388090887024	0.03	0.05
Z_syn-Z_red-X1-X2	NPEET	6.425206674050443	0.03	0.05
Z_syn-Z_red-X1-X2	THOI	0.28608758449554444	0.03	0.05
Z_syn-Z_red-X1-X2	GCMI	0.6371707947910054	0.03	0.06
Z_syn-Z_red-X1-X2	NPEET	6.506979141292175	0.03	0.06
Z_syn-Z_red-X1-X2	THOI	0.44164674282073973	0.03	0.06
Z_syn-Z_red-X1-X2	GCMI	0.8444989352868276	0.03	0.07
Z_syn-Z_red-X1-X2	NPEET	6.582594434093915	0.03	0.07
Z_syn-Z_red-X1-X2	THOI	0.5853586673736573	0.03	0.07
Z_syn-Z_red-X1-X2	GCMI	1.0261505298656395	0.03	0.08
Z_syn-Z_red-X1-X2	NPEET	6.672903041765752	0.03	0.08
Z_syn-Z_red-X1-X2	THOI	0.7112672805786133	0.03	0.08
Z_syn-Z_red-X1-X2	GCMI	1.1925589131382126	0.03	0.09
Z_syn-Z_red-X1-X2	NPEET	6.767597983066089	0.03	0.09
Z_syn-Z_red-X1-X2	THOI	0.8266112327575683	0.03	0.09
Z_syn-Z_red-X1-X2	GCMI	1.3495347809457978	0.03	0.1
Z_syn-Z_red-X1-X2	NPEET	6.8240622646095614	0.03	0.1
Z_syn-Z_red-X1-X2	THOI	0.9354283332824707	0.03	0.1
Z_syn-Z_red-X1-X2	GCMI	2.364927497445269	0.03	0.2
Z_syn-Z_red-X1-X2	NPEET	7.292956177139885	0.03	0.2
Z_syn-Z_red-X1-X2	THOI	1.639245867729187	0.03	0.2
Z_syn-Z_red-X1-X2	GCMI	3.000745573743744	0.03	0.3
Z_syn-Z_red-X1-X2	NPEET	7.563323924200732	0.03	0.3
Z_syn-Z_red-X1-X2	THOI	2.079856610298157	0.03	0.3
Z_syn-Z_red-X1-X2	GCMI	3.446322821233495	0.03	0.4
Z_syn-Z_red-X1-X2	NPEET	7.780773915839061	0.03	0.4
Z_syn-Z_red-X1-X2	THOI	2.3886123418807985	0.03	0.4
Z_syn-Z_red-X1-X2	GCMI	3.796854191198217	0.03	0.5
Z_syn-Z_red-X1-X2	NPEET	7.937600615145382	0.03	0.5
Z_syn-Z_red-X1-X2	THOI	2.63151695728302	0.03	0.5
Z_syn-Z_red-X1-X2	GCMI	4.098407729756734	0.03	0.6
Z_syn-Z_red-X1-X2	NPEET	8.057430759773833	0.03	0.6
Z_syn-Z_red-X1-X2	THOI	2.840639615058899	0.03	0.6
Z_syn-Z_red-X1-X2	GCMI	4.369514483721564	0.03	0.7
Z_syn-Z_red-X1-X2	NPEET	8.187040679158589	0.03	0.7
Z_syn-Z_red-X1-X2	THOI	3.0284779548645018	0.03	0.7
Z_syn-Z_red-X1-X2	GCMI	4.575561531740509	0.03	0.8
Z_syn-Z_red-X1-X2	NPEET	8.29092504992198	0.03	0.8
Z_syn-Z_red-X1-X2	THOI	3.1716609716415407	0.03	0.8
Z_syn-Z_red-X1-X2	GCMI	4.783712886931171	0.03	0.9
Z_syn-Z_red-X1-X2	NPEET	8.378062461450453	0.03	0.9
Z_syn-Z_red-X1-X2	THOI	3.315287208557129	0.03	0.9
Z_syn-Z_red-X1-X2	GCMI	4.794543823646064	0.03	0.91
Z_syn-Z_red-X1-X2	NPEET	8.38642954565469	0.03	0.91
Z_syn-Z_red-X1-X2	THOI	3.322915863990784	0.03	0.91
Z_syn-Z_red-X1-X2	GCMI	4.7994574538990635	0.03	0.92
Z_syn-Z_red-X1-X2	NPEET	8.396852975740465	0.03	0.92
Z_syn-Z_red-X1-X2	THOI	3.326806569099426	0.03	0.92
Z_syn-Z_red-X1-X2	GCMI	4.8206174217779605	0.03	0.93
Z_syn-Z_red-X1-X2	NPEET	8.394767988156488	0.03	0.93
Z_syn-Z_red-X1-X2	THOI	3.340333676338196	0.03	0.93
Z_syn-Z_red-X1-X2	GCMI	4.828654247270798	0.03	0.94
Z_syn-Z_red-X1-X2	NPEET	8.397211807814696	0.03	0.94
Z_syn-Z_red-X1-X2	THOI	3.34734365940094	0.03	0.94
Z_syn-Z_red-X1-X2	GCMI	4.874082040305665	0.03	0.95
Z_syn-Z_red-X1-X2	NPEET	8.413738901462791	0.03	0.95
Z_syn-Z_red-X1-X2	THOI	3.378084349632263	0.03	0.95
Z_syn-Z_red-X1-X2	GCMI	4.870478374140655	0.03	0.96
Z_syn-Z_red-X1-X2	NPEET	8.41483785126361	0.03	0.96
Z_syn-Z_red-X1-X2	THOI	3.3760590314865113	0.03	0.96
Z_syn-Z_red-X1-X2	GCMI	4.899322037516609	0.03	0.97
Z_syn-Z_red-X1-X2	NPEET	8.426748723725648	0.03	0.97
Z_syn-Z_red-X1-X2	THOI	3.3950035572052	0.03	0.97
Z_syn-Z_red-X1-X2	GCMI	4.922963181295523	0.03	0.98
Z_syn-Z_red-X1-X2	NPEET	8.427294123220594	0.03	0.98
Z_syn-Z_red-X1-X2	THOI	3.412233304977417	0.03	0.98
Z_syn-Z_red-X1-X2	GCMI	4.953513204658312	0.03	0.99
Z_syn-Z_red-X1-X2	NPEET	8.454243829251373	0.03	0.99
Z_syn-Z_red-X1-X2	THOI	3.4336308240890503	0.03	0.99
Z_syn-Z_red-X1-X2	GCMI	4.969299380288411	0.03	1.0
Z_syn-Z_red-X1-X2	NPEET	8.469290228903578	0.03	1.0
Z_syn-Z_red-X1-X2	THOI	3.444192719459534	0.03	1.0
Z_syn-Z_red-X1-X2	GCMI	-0.31857271907511453	0.04	0.01
Z_syn-Z_red-X1-X2	NPEET	6.516823066653933	0.04	0.01
Z_syn-Z_red-X1-X2	THOI	-0.22081812620162963	0.04	0.01
Z_syn-Z_red-X1-X2	GCMI	-0.43710304388401083	0.04	0.02
Z_syn-Z_red-X1-X2	NPEET	5.949004023011694	0.04	0.02
Z_syn-Z_red-X1-X2	THOI	-0.30297768115997314	0.04	0.02
Z_syn-Z_red-X1-X2	GCMI	-0.35380829043281026	0.04	0.03
Z_syn-Z_red-X1-X2	NPEET	5.789835151117434	0.04	0.03
Z_syn-Z_red-X1-X2	THOI	-0.24524099826812745	0.04	0.03
Z_syn-Z_red-X1-X2	GCMI	-0.14951147499121725	0.04	0.04
Z_syn-Z_red-X1-X2	NPEET	5.804248942464592	0.04	0.04
Z_syn-Z_red-X1-X2	THOI	-0.10363415479660035	0.04	0.04
Z_syn-Z_red-X1-X2	GCMI	0.04861838669137599	0.04	0.05
Z_syn-Z_red-X1-X2	NPEET	5.854265677056581	0.04	0.05
Z_syn-Z_red-X1-X2	THOI	0.03369780778884888	0.04	0.05
Z_syn-Z_red-X1-X2	GCMI	0.2734656012895546	0.04	0.06
Z_syn-Z_red-X1-X2	NPEET	5.916272052804778	0.04	0.06
Z_syn-Z_red-X1-X2	THOI	0.1895515203475952	0.04	0.06
Z_syn-Z_red-X1-X2	GCMI	0.4669377342143619	0.04	0.07
Z_syn-Z_red-X1-X2	NPEET	6.008405156902811	0.04	0.07
Z_syn-Z_red-X1-X2	THOI	0.3236570119857788	0.04	0.07
Z_syn-Z_red-X1-X2	GCMI	0.6247178962047396	0.04	0.08
Z_syn-Z_red-X1-X2	NPEET	6.0783522744078216	0.04	0.08
Z_syn-Z_red-X1-X2	THOI	0.43302366733551023	0.04	0.08
Z_syn-Z_red-X1-X2	GCMI	0.7994237424300761	0.04	0.09
Z_syn-Z_red-X1-X2	NPEET	6.156426374152853	0.04	0.09
Z_syn-Z_red-X1-X2	THOI	0.5541120529174804	0.04	0.09
Z_syn-Z_red-X1-X2	GCMI	0.9435339218405495	0.04	0.1
Z_syn-Z_red-X1-X2	NPEET	6.215921966338874	0.04	0.1
Z_syn-Z_red-X1-X2	THOI	0.65400071144104	0.04	0.1
Z_syn-Z_red-X1-X2	GCMI	1.9306154916771447	0.04	0.2
Z_syn-Z_red-X1-X2	NPEET	6.668499024780044	0.04	0.2
Z_syn-Z_red-X1-X2	THOI	1.3382070541381836	0.04	0.2
Z_syn-Z_red-X1-X2	GCMI	2.5499799126496487	0.04	0.3
Z_syn-Z_red-X1-X2	NPEET	6.954620603876504	0.04	0.3
Z_syn-Z_red-X1-X2	THOI	1.7675071716308595	0.04	0.3
Z_syn-Z_red-X1-X2	GCMI	2.993743490109594	0.04	0.4
Z_syn-Z_red-X1-X2	NPEET	7.165183827990695	0.04	0.4
Z_syn-Z_red-X1-X2	THOI	2.07505202293396	0.04	0.4
Z_syn-Z_red-X1-X2	GCMI	3.3384750790990245	0.04	0.5
Z_syn-Z_red-X1-X2	NPEET	7.310503875489016	0.04	0.5
Z_syn-Z_red-X1-X2	THOI	2.313930892944336	0.04	0.5
Z_syn-Z_red-X1-X2	GCMI	3.6381757667763863	0.04	0.6
Z_syn-Z_red-X1-X2	NPEET	7.441891806801065	0.04	0.6
Z_syn-Z_red-X1-X2	THOI	2.5217241525650023	0.04	0.6
Z_syn-Z_red-X1-X2	GCMI	3.885782318069625	0.04	0.7
Z_syn-Z_red-X1-X2	NPEET	7.563654163777246	0.04	0.7
Z_syn-Z_red-X1-X2	THOI	2.693449544906616	0.04	0.7
Z_syn-Z_red-X1-X2	GCMI	4.101897891919202	0.04	0.8
Z_syn-Z_red-X1-X2	NPEET	7.661126911811808	0.04	0.8
Z_syn-Z_red-X1-X2	THOI	2.843161368370056	0.04	0.8
Z_syn-Z_red-X1-X2	GCMI	4.280742736654613	0.04	0.9
Z_syn-Z_red-X1-X2	NPEET	7.7282673987553325	0.04	0.9
Z_syn-Z_red-X1-X2	THOI	2.9669082880020143	0.04	0.9
Z_syn-Z_red-X1-X2	GCMI	4.3135166567654695	0.04	0.91
Z_syn-Z_red-X1-X2	NPEET	7.739671326908717	0.04	0.91
Z_syn-Z_red-X1-X2	THOI	2.9899765729904173	0.04	0.91
Z_syn-Z_red-X1-X2	GCMI	4.336450694685623	0.04	0.92
Z_syn-Z_red-X1-X2	NPEET	7.753486531746754	0.04	0.92
Z_syn-Z_red-X1-X2	THOI	3.0055252075195313	0.04	0.92
Z_syn-Z_red-X1-X2	GCMI	4.352560895853832	0.04	0.93
Z_syn-Z_red-X1-X2	NPEET	7.762761482519581	0.04	0.93
Z_syn-Z_red-X1-X2	THOI	3.01680212020874	0.04	0.93
Z_syn-Z_red-X1-X2	GCMI	4.387952928415579	0.04	0.94
Z_syn-Z_red-X1-X2	NPEET	7.784217375766934	0.04	0.94
Z_syn-Z_red-X1-X2	THOI	3.0414657592773438	0.04	0.94
Z_syn-Z_red-X1-X2	GCMI	4.399451501966057	0.04	0.95
Z_syn-Z_red-X1-X2	NPEET	7.778208956384749	0.04	0.95
Z_syn-Z_red-X1-X2	THOI	3.049510622024536	0.04	0.95
Z_syn-Z_red-X1-X2	GCMI	4.395472957666084	0.04	0.96
Z_syn-Z_red-X1-X2	NPEET	7.792461392183613	0.04	0.96
Z_syn-Z_red-X1-X2	THOI	3.0468559741973875	0.04	0.96
Z_syn-Z_red-X1-X2	GCMI	4.433527763610124	0.04	0.97
Z_syn-Z_red-X1-X2	NPEET	7.811650565251979	0.04	0.97
Z_syn-Z_red-X1-X2	THOI	3.073467183113098	0.04	0.97
Z_syn-Z_red-X1-X2	GCMI	4.440631843145766	0.04	0.98
Z_syn-Z_red-X1-X2	NPEET	7.817629397154745	0.04	0.98
Z_syn-Z_red-X1-X2	THOI	3.0784127712249756	0.04	0.98
Z_syn-Z_red-X1-X2	GCMI	4.4493923441846235	0.04	0.99
Z_syn-Z_red-X1-X2	NPEET	7.8317508282344575	0.04	0.99
Z_syn-Z_red-X1-X2	THOI	3.083871340751648	0.04	0.99
Z_syn-Z_red-X1-X2	GCMI	4.468517094775365	0.04	1.0
Z_syn-Z_red-X1-X2	NPEET	7.8400460292816705	0.04	1.0
Z_syn-Z_red-X1-X2	THOI	3.097165060043335	0.04	1.0
Z_syn-Z_red-X1-X2	GCMI	-0.28499218801214593	0.05	0.01
Z_syn-Z_red-X1-X2	NPEET	6.430238150667487	0.05	0.01
Z_syn-Z_red-X1-X2	THOI	-0.1975416898727417	0.05	0.01
Z_syn-Z_red-X1-X2	GCMI	-0.4258809136092482	0.05	0.02
Z_syn-Z_red-X1-X2	NPEET	5.750160662605108	0.05	0.02
Z_syn-Z_red-X1-X2	THOI	-0.29519853591918943	0.05	0.02
Z_syn-Z_red-X1-X2	GCMI	-0.43540222446063803	0.05	0.03
Z_syn-Z_red-X1-X2	NPEET	5.5210725568426104	0.05	0.03
Z_syn-Z_red-X1-X2	THOI	-0.3017987012863159	0.05	0.03
Z_syn-Z_red-X1-X2	GCMI	-0.3222667446515131	0.05	0.04
Z_syn-Z_red-X1-X2	NPEET	5.472300149952482	0.05	0.04
Z_syn-Z_red-X1-X2	THOI	-0.22337982654571534	0.05	0.04
Z_syn-Z_red-X1-X2	GCMI	-0.1359300085810829	0.05	0.05
Z_syn-Z_red-X1-X2	NPEET	5.467992618600073	0.05	0.05
Z_syn-Z_red-X1-X2	THOI	-0.09422138929367066	0.05	0.05
Z_syn-Z_red-X1-X2	GCMI	0.02729285756489728	0.05	0.06
Z_syn-Z_red-X1-X2	NPEET	5.528430506590185	0.05	0.06
Z_syn-Z_red-X1-X2	THOI	0.01891942024230957	0.05	0.06
Z_syn-Z_red-X1-X2	GCMI	0.18985738292538712	0.05	0.07
Z_syn-Z_red-X1-X2	NPEET	5.570301131673719	0.05	0.07
Z_syn-Z_red-X1-X2	THOI	0.13159953355789183	0.05	0.07
Z_syn-Z_red-X1-X2	GCMI	0.3449745464362694	0.05	0.08
Z_syn-Z_red-X1-X2	NPEET	5.630038081480175	0.05	0.08
Z_syn-Z_red-X1-X2	THOI	0.2391195774078369	0.05	0.08
Z_syn-Z_red-X1-X2	GCMI	0.48643840298362173	0.05	0.09
Z_syn-Z_red-X1-X2	NPEET	5.691284167660937	0.05	0.09
Z_syn-Z_red-X1-X2	THOI	0.3371716022491455	0.05	0.09
Z_syn-Z_red-X1-X2	GCMI	0.6357715863896134	0.05	0.1
Z_syn-Z_red-X1-X2	NPEET	5.77074188061817	0.05	0.1
Z_syn-Z_red-X1-X2	THOI	0.44068012237548826	0.05	0.1
